Timer: 0.229986
 0.000556 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.001667 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.002778 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.003889 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.280556 0.407523 -0.029841 0.285440 0.990251 1.003002 0.000000
 0.281667 0.406595 -0.027597 0.284535 0.989808 1.003018 0.000000
 0.282778 0.405706 -0.025443 0.283669 0.989383 1.003035 0.000000
 0.283889 0.404856 -0.023381 0.282842 0.988976 1.003051 0.000000
 0.285000 0.404047 -0.021415 0.282056 0.988589 1.003068 0.000000
 0.286111 0.403279 -0.019545 0.281310 0.988220 1.003084 0.000000
 0.287222 0.402552 -0.017775 0.280605 0.987872 1.003101 0.000000
 0.288333 0.401867 -0.016104 0.279941 0.987544 1.003117 0.000000
 0.289444 0.401224 -0.014535 0.279319 0.987235 1.003133 0.000000
 0.290556 0.400623 -0.013066 0.278738 0.986947 1.003149 0.000000
 0.291667 0.400063 -0.011698 0.278197 0.986679 1.003166 0.000000
 0.292778 0.399545 -0.010430 0.277697 0.986432 1.003182 0.000000
 0.293889 0.399067 -0.009261 0.277236 0.986203 1.003198 0.000000
 0.295000 0.398628 -0.008187 0.276814 0.985994 1.003215 0.000000
 0.296111 0.398227 -0.007207 0.276429 0.985804 1.003231 0.000000
 0.297222 0.397863 -0.006318 0.276080 0.985632 1.003247 0.000000
 0.298333 0.397534 -0.005515 0.275765 0.985477 1.003264 0.000000
 0.299444 0.397239 -0.004794 0.275483 0.985339 1.003281 0.000000
 0.300556 0.396975 -0.004151 0.275232 0.985216 1.003297 0.000000
 0.301667 0.396741 -0.003581 0.275009 0.985108 1.003314 0.000000
 0.302778 0.396534 -0.003079 0.274813 0.985014 1.003331 0.000000
 0.303889 0.396352 -0.002639 0.274641 0.984932 1.003349 0.000000
 0.305000 0.396193 -0.002256 0.274492 0.984861 1.003366 0.000000
 0.306111 0.396055 -0.001925 0.274363 0.984801 1.003383 0.000000
 0.307222 0.395936 -0.001641 0.274252 0.984751 1.003401 0.000000
 0.308333 0.395833 -0.001398 0.274157 0.984708 1.003419 0.000000
 0.309444 0.395745 -0.001191 0.274077 0.984673 1.003437 0.000000
 0.310556 0.395670 -0.001017 0.274009 0.984645 1.003455 0.000000
 0.311667 0.395606 -0.000871 0.273952 0.984622 1.003473 0.000000
 0.312778 0.395552 -0.000749 0.273905 0.984604 1.003492 0.000000
 0.313889 0.395506 -0.000647 0.273865 0.984591 1.003511 0.000000
 0.315000 0.395467 -0.000563 0.273832 0.984581 1.003530 0.000000
 0.316111 0.395434 -0.000494 0.273805 0.984573 1.003549 0.000000
 0.317222 0.395406 -0.000437 0.273783 0.984569 1.003568 0.000000
 0.318333 0.395381 -0.000390 0.273765 0.984566 1.003588 0.000000
 0.319444 0.395360 -0.000352 0.273750 0.984566 1.003608 0.000000
 0.320556 0.395342 -0.000320 0.273738 0.984566 1.003628 0.000000
 0.321667 0.395326 -0.000294 0.273728 0.984568 1.003648 0.000000
 0.322778 0.395312 -0.000272 0.273720 0.984571 1.003669 0.000000
 0.323889 0.395299 -0.000254 0.273713 0.984575 1.003690 0.000000
 0.325000 0.395287 -0.000239 0.273707 0.984579 1.003711 0.000000
 0.326111 0.395276 -0.000226 0.273702 0.984584 1.003732 0.000000
 0.327222 0.395265 -0.000215 0.273698 0.984590 1.003754 0.000000
 0.328333 0.395255 -0.000206 0.273694 0.984595 1.003775 0.000000
 0.329444 0.395246 -0.000197 0.273691 0.984601 1.003797 0.000000
 0.330556 0.395237 -0.000190 0.273688 0.984608 1.003820 0.000000
 0.331667 0.395228 -0.000183 0.273685 0.984614 1.003842 0.000000
 0.332778 0.395219 -0.000177 0.273683 0.984621 1.003865 0.000000
 0.333889 0.395210 -0.000172 0.273681 0.984628 1.003888 0.000000
 0.335000 0.395201 -0.000167 0.273679 0.984636 1.003912 0.000000
 0.336111 0.395193 -0.000162 0.273677 0.984643 1.003936 0.000000
 0.337222 0.395184 -0.000157 0.273676 0.984651 1.003960 0.000000
 0.338333 0.395176 -0.000153 0.273674 0.984658 1.003984 0.000000
 0.339444 0.395168 -0.000149 0.273673 0.984666 1.004009 0.000000
 0.340556 0.395159 -0.000145 0.273671 0.984674 1.004034 0.000000
 0.341667 0.395151 -0.000142 0.273670 0.984682 1.004059 0.000000
 0.342778 0.395142 -0.000138 0.273669 0.984691 1.004085 0.000000
 0.343889 0.395134 -0.000135 0.273667 0.984699 1.004111 0.000000
 0.345000 0.395125 -0.000132 0.273666 0.984708 1.004137 0.000000
 0.346111 0.395116 -0.000129 0.273665 0.984717 1.004164 0.000000
 0.347222 0.395108 -0.000126 0.273664 0.984725 1.004191 0.000000
 0.348333 0.395099 -0.000123 0.273663 0.984735 1.004218 0.000000
 0.349444 0.395090 -0.000121 0.273662 0.984744 1.004246 0.000000
 0.350556 0.395081 -0.000118 0.273661 0.984753 1.004274 0.000000
 0.351667 0.395072 -0.000116 0.273660 0.984763 1.004302 0.000000
 0.352778 0.395063 -0.000113 0.273659 0.984772 1.004331 0.000000
 0.353889 0.395054 -0.000111 0.273659 0.984782 1.004361 0.000000
 0.355000 0.395045 -0.000109 0.273658 0.984792 1.004390 0.000000
 0.356111 0.395036 -0.000107 0.273657 0.984802 1.004420 0.000000
 0.357222 0.395027 -0.000105 0.273656 0.984813 1.004451 0.000000
 0.358333 0.395017 -0.000103 0.273656 0.984823 1.004482 0.000000
 0.359444 0.395008 -0.000101 0.273655 0.984834 1.004514 0.000000
 0.360556 0.394998 -0.000099 0.273654 0.984845 1.004546 0.000000
 0.361667 0.394988 -0.000097 0.273654 0.984856 1.004578 0.000000
 0.362778 0.394978 -0.000095 0.273653 0.984867 1.004611 0.000000
 0.363889 0.394968 -0.000093 0.273652 0.984878 1.004644 0.000000
 0.365000 0.394958 -0.000092 0.273652 0.984890 1.004678 0.000000
 0.366111 0.394948 -0.000090 0.273651 0.984902 1.004713 0.000000
 0.367222 0.394937 -0.000088 0.273651 0.984914 1.004747 0.000000
 0.368333 0.394927 -0.000087 0.273650 0.984926 1.004783 0.000000
 0.369444 0.394916 -0.000085 0.273650 0.984938 1.004819 0.000000
 0.370556 0.394906 -0.000084 0.273649 0.984951 1.004856 0.000000
 0.371667 0.394895 -0.000082 0.273649 0.984963 1.004893 0.000000
 0.372778 0.394884 -0.000081 0.273648 0.984976 1.004931 0.000000
 0.373889 0.394872 -0.000080 0.273648 0.984990 1.004969 0.000000
 0.375000 0.394861 -0.000078 0.273647 0.985003 1.005008 0.000000
 0.376111 0.394849 -0.000077 0.273647 0.985017 1.005048 0.000000
 0.377222 0.394838 -0.000076 0.273646 0.985031 1.005088 0.000000
 0.378333 0.394826 -0.000074 0.273646 0.985045 1.005129 0.000000
 0.379444 0.394813 -0.000073 0.273646 0.985059 1.005171 0.000000
 0.380556 0.394801 -0.000072 0.273645 0.985074 1.005213 0.000000
 0.381667 0.394789 -0.000071 0.273645 0.985089 1.005256 0.000000
 0.382778 0.394776 -0.000069 0.273645 0.985104 1.005300 0.000000
 0.383889 0.394763 -0.000068 0.273644 0.985119 1.005345 0.000000
 0.385000 0.394750 -0.000067 0.273644 0.985135 1.005390 0.000000
 0.386111 0.394737 -0.000066 0.273643 0.985151 1.005436 0.000000
 0.387222 0.394723 -0.000065 0.273643 0.985167 1.005483 0.000000
 0.388333 0.394709 -0.000064 0.273643 0.985184 1.005531 0.000000
 0.389444 0.394695 -0.000063 0.273642 0.985201 1.005580 0.000000
 0.390556 0.394681 -0.000062 0.273642 0.985218 1.005630 0.000000
 0.391667 0.394667 -0.000061 0.273642 0.985236 1.005680 0.000000
 0.392778 0.394652 -0.000060 0.273642 0.985253 1.005732 0.000000
 0.393889 0.394637 -0.000059 0.273641 0.985272 1.005784 0.000000
 0.395000 0.394622 -0.000058 0.273641 0.985290 1.005838 0.000000
 0.396111 0.394606 -0.000057 0.273641 0.985309 1.005893 0.000000
 0.397222 0.394590 -0.000056 0.273640 0.985329 1.005948 0.000000
 0.398333 0.394574 -0.000055 0.273640 0.985348 1.006005 0.000000
 0.399444 0.394557 -0.000054 0.273640 0.985368 1.006063 0.000000
